Species,Average of T,ww.h,Average of height,Average of sa.ww
Actinotrichia fragilis,40.76,0.47869385,5.26,6.228977046
Amansia rhodantha,25.04,0.249802909,6.4,13.13648662
Amphiroa fragilissima,44.7,1.622602895,5.7,4.043548681
Asparagopsis taxiformis,2,0.178910002,8.18,6.970839007
Caulerpa racemosa,7.58,0.079446021,5.78,6.621841536
Chlorodesmis fastigiata,2,0.222783693,2.42,3.305394772
Chnoospora implexa,19.96,0.468720294,8.3,21.86387816
Cladophoropsis membranacea,2,0.290559968,1.94,3.882510735
Dichotomaria marginata,14.16,0.380769124,8.2,9.056159694
Dictyota bartayresiana,9.56,0.637025651,8.28,9.750011273
Galaxaura filamentosa,12.74,3.959671678,3.44,1.716787117
Galaxaura rugosa,14.022,1.857923142,8.08,2.560953081
Halimeda discoidea,68.72,0.42630591,3.88,3.925622353
Halimeda incrassata,38.682,1.095966153,6.88,2.353246402
Halimeda minima,81.08,0.158160958,4.72,8.244552397
Halimeda opuntia,69.34,2.04728777,13.4,2.650338744
Halimeda spp,64.4555,0.397247302,7.22,4.293439974
Lobophora variegata,21.5,0.014435615,2.76,77.61672538
Microdictyon umbilicatum,2,0.004615385,2.08,92.16
Peyssonnelia spp.,31.85,0.0625,1.9,20.55285714
Phyllodictyon anastomosans,2,0.014691479,1.18,76.70066667
Sargassum pacificum,15.72,0.652250869,29.46,7.72320107
Turbinaria ornata,20.52,0.557588455,16.26,3.010372635
