species,replicate,location,Date,T,ww.h,height,sa.ww
Actinotrichia fragilis,1,Sailing School,7/20/21,37.1,1.059183674,4.9,4.573217726
Actinotrichia fragilis,2,Sailing School,7/20/21,47.1,0.824242424,3.3,5.433088235
Actinotrichia fragilis,3,Sailing School,7/20/21,28.9,1.279452056,7.3,3.542933619
Actinotrichia fragilis,4,Sailing School,7/20/21,44.8,0.194339623,5.3,10.28834951
Actinotrichia fragilis,5,Sailing School,7/20/21,45.9,0.423636364,5.5,7.307296137
Amansia rhodantha,1,Hilton,7/18/21,33.5,0.147058824,6.8,21.473
Amansia rhodantha,2,Hilton,7/18/21,28.5,0.539473684,7.6,10.64146341
Amansia rhodantha,3,Hilton,7/18/21,26.5,0.164383562,7.3,14.80833333
Amansia rhodantha,4,Hilton,7/18/21,27.2,2.088607594,7.9,5.259636364
Amansia rhodantha,5,Hilton,7/18/21,9.5,0.208333333,2.4,13.5
Amphiroa fragilissima,1,Hilton,7/18/21,40.1,2.451612902,3.1,3.322763158
Amphiroa fragilissima,2,Hilton,7/18/21,43.1,0.833333333,5.4,5.277333333
Amphiroa fragilissima,3,Hilton,7/18/21,36.6,2.405797099,6.9,3.861024096
Amphiroa fragilissima,4,Hilton,7/19/21,46.1,1.767647058,6.8,4.063810316
Amphiroa fragilissima,5,Hilton,7/19/21,57.6,2.031746032,6.3,3.6928125
Asparagopsis taxiformis,1,MRB,7/26/21,2,0.205172414,11.6,6.500420168
Asparagopsis taxiformis,2,MRB,7/26/21,2,0.15443038,7.9,9.249180328
Asparagopsis taxiformis,3,MRB,7/26/21,2,0.252542373,5.9,5.820134228
Asparagopsis taxiformis,4,MRB,7/26/21,2,0.111956522,9.2,6.865048544
Asparagopsis taxiformis,5,MRB,7/26/21,2,0.26984127,6.3,6.419411765
Caulerpa racemosa,1,Hilton,7/19/21,10,0.325,7.6,5.409311741
Caulerpa racemosa,2,Hilton,7/24/21,6.5,0.058426966,8.9,8.903846154
Caulerpa racemosa,3,Hilton,7/24/21,5.2,0.127272727,4.4,6.408928571
Caulerpa racemosa,4,Hilton,7/24/21,8,0.061538462,3.9,6.591666667
Caulerpa racemosa,5,Hilton,7/24/21,8.2,0.053658537,4.1,5.795454545
